package,version,publisher,publisher_trusted,provenance,signatures,direct_deps,floating_direct,transitive_deps,tree_depth,exec,network_out,filesystem,env_read,eval,stdio,install_scripts,sdk_range,sdk_resolved,score_package,score_registry,score_sdk,score_overall
@pulumi/mcp-server,0.2.0,pulumi-bot,False,False,1,6,6,276,8,3,2,2,9,0,2,,^1.13.1,1.30.0,30,60,80,57
@agentdeskai/browser-tools-mcp,2.0.2,tedjames24,False,False,1,6,6,185,7,4,6,8,8,0,4,,^1.30.0,1.30.0,40,60,80,60
@wonderwhy-er/desktop-commander,0.2.48,GitHub Actions,True,True,1,33,33,440,8,83,13,56,149,2,7,postinstall,^1.9.0,1.30.0,0,100,80,60
@cloudflare/mcp-server-cloudflare,0.2.0,geelen,False,False,1,8,8,25,4,1,2,0,25,0,2,,^0.6.0,0.6.1,75,60,50,62
@executeautomation/playwright-mcp-server,1.0.12,executeautomation,False,False,1,10,4,237,8,2,0,2,11,0,2,,1.24.3,1.24.3,50,60,75,62
@neondatabase/mcp-server-neon,0.6.5,shridharneon,False,False,1,28,0,337,6,0,4,4,17,0,2,,1.11.2,1.11.2,50,60,75,62
@kazuph/mcp-fetch,1.6.3,kazuph,False,False,1,8,8,151,6,0,1,6,12,0,2,,^1.20.0,1.30.0,50,60,80,63
@sentry/mcp-server,0.39.0,sentry-bot,False,False,1,5,2,112,8,11,34,10,16,0,3,,1.30.0,1.30.0,40,60,90,63
@elastic/mcp-server-elasticsearch,0.3.1,joshmock,False,False,1,4,3,280,8,0,0,1,10,0,2,,1.13.2,1.13.2,60,60,75,65
@automatalabs/mcp-server-playwright,1.2.1,automatalabsteam,False,False,1,3,2,32,6,0,0,6,0,1,2,,0.5.0,0.5.0,80,60,60,67
@modelcontextprotocol/server-everart,0.6.2,jspahrsummers,False,False,1,4,3,87,7,0,0,0,2,0,2,,0.5.0,0.5.0,80,60,60,67
mcp-server-sqlite,0.0.2,madnh,False,False,1,3,3,129,8,1,0,1,3,0,2,,^1.18.2,1.30.0,60,60,80,67
mongodb-mcp-server,2.1.1,GitHub Actions,True,True,2,30,27,350,8,40,8,7,12,4,3,,^1.29.0,1.30.0,20,100,80,67
@modelcontextprotocol/server-puppeteer,2025.5.12,jspahrsummers,False,False,1,2,1,115,8,0,0,0,3,0,2,,1.0.1,1.0.1,70,60,75,68
firecrawl-mcp,3.24.0,hello_sideguide,False,False,1,4,2,173,7,0,12,0,66,0,0,,,,65,60,80,68
@antv/mcp-server-chart,0.9.10,atool,False,False,1,5,5,105,6,0,4,0,0,0,1,,^1.25.2,1.30.0,70,60,80,70
@modelcontextprotocol/server-aws-kb-retrieval,0.6.2,jspahrsummers,False,False,1,2,1,38,5,0,0,0,3,0,2,,0.5.0,0.5.0,90,60,60,70
@modelcontextprotocol/server-redis,2025.4.25,jspahrsummers,False,False,1,4,4,107,8,0,0,0,0,0,2,,^1.7.0,1.30.0,70,60,80,70
@notionhq/notion-mcp-server,2.5.1,GitHub Actions,True,True,1,12,11,136,6,45,51,3,63,3,3,,^1.29.0,1.30.0,30,100,80,70
mcp-obsidian,1.0.0,calclavia,False,False,1,3,2,43,5,0,0,2,0,0,2,,0.5.0,0.5.0,90,60,60,70
@hubspot/mcp-server,0.4.0,jedeen-hs,False,False,1,3,3,95,8,0,1,0,5,0,2,,^1.0.1,1.30.0,75,60,80,72
@makehq/mcp-server,0.5.0,patriksimek,False,False,1,1,1,94,8,0,6,0,6,0,2,,^1.6.1,1.30.0,75,60,80,72
@modelcontextprotocol/server-gdrive,2025.1.14,jspahrsummers,False,False,1,3,2,69,8,0,0,2,2,0,2,,1.0.1,1.0.1,80,60,75,72
@upstash/context7-mcp,4.0.5,fahreddin.ozcan,False,False,2,8,6,86,7,0,4,0,16,0,0,,,,75,60,80,72
mcp-server-commands,0.8.2,weshigbee,False,False,1,1,0,83,8,40,0,0,2,0,2,,1.9.0,1.9.0,80,60,75,72
@amap/amap-maps-mcp-server,0.0.8,duxiaohui,False,False,1,3,2,46,6,0,12,0,1,0,2,,1.0.1,1.0.1,85,60,75,73
@modelcontextprotocol/server-github,2025.4.8,jspahrsummers,False,False,1,7,6,47,6,0,1,0,2,0,2,,1.0.1,1.0.1,85,60,75,73
@modelcontextprotocol/server-gitlab,2025.4.25,jspahrsummers,False,False,1,4,3,47,6,0,10,0,2,0,2,,1.0.1,1.0.1,85,60,75,73
@modelcontextprotocol/server-google-maps,0.6.2,jspahrsummers,False,False,1,3,2,46,6,0,7,0,1,0,2,,1.0.1,1.0.1,85,60,75,73
n8n-mcp,2.82.1,GitHub Actions,True,True,1,13,11,118,5,76,53,27,196,3,1,,1.30.0,1.30.0,30,100,90,73
@modelcontextprotocol/server-postgres,0.6.2,jspahrsummers,False,False,1,2,1,28,4,0,0,0,0,0,2,,1.0.1,1.0.1,90,60,75,75
@cyanheads/git-mcp-server,2.15.3,cyanheads,False,False,1,3,3,33,4,0,0,0,0,0,0,,,,90,60,80,77
@jetbrains/mcp-proxy,1.8.0,jetbrains-buildserver,False,True,1,2,1,83,8,0,3,0,9,0,2,,1.7.0,1.7.0,75,80,75,77
@modelcontextprotocol/server-brave-search,0.6.2,jspahrsummers,False,False,1,1,0,14,4,0,4,0,1,0,2,,1.0.1,1.0.1,95,60,75,77
@modelcontextprotocol/server-slack,2025.4.25,jspahrsummers,False,False,1,1,0,14,4,0,9,0,5,0,2,,1.0.1,1.0.1,95,60,75,77
@21st-dev/magic,0.2.2,serafimcloud,False,False,1,0,0,0,0,0,1,0,4,0,0,,,,95,60,80,78
@apify/actors-mcp-server,0.15.4,GitHub Actions,True,True,1,18,15,215,7,56,32,0,30,0,2,,1.30.0,1.30.0,45,100,90,78
mcp-server-kubernetes,4.1.6,GitHub Actions,True,True,1,12,0,304,8,6,0,13,117,0,2,,1.26.0,1.26.0,60,100,75,78
@playwright/mcp,0.0.80,microsoft1es,False,False,2,2,0,2,1,0,0,0,0,0,0,,,,100,60,80,80
mcp-server-fetch,0.0.1-security,npm,False,False,1,0,0,0,0,0,0,0,0,0,0,,,,100,60,80,80
@modelcontextprotocol/server-everything,2026.8.31,GitHub Actions,True,True,1,5,5,106,7,0,1,0,6,0,3,,^1.30.0,1.30.0,65,100,80,82
@modelcontextprotocol/server-filesystem,2026.8.31,GitHub Actions,True,True,2,4,4,102,8,0,0,12,0,0,2,,^1.30.0,1.30.0,70,100,80,83
@modelcontextprotocol/server-sequential-thinking,2026.8.31,GitHub Actions,True,True,1,3,3,111,8,0,0,0,1,0,2,,^1.30.0,1.30.0,70,100,80,83
@perplexity-ai/mcp-server,1.2.1,GitHub Actions,True,True,1,5,5,97,7,0,1,0,14,0,2,,^1.29.0,1.30.0,75,100,80,85
@modelcontextprotocol/server-memory,2026.8.31,GitHub Actions,True,True,1,1,1,94,8,0,0,4,4,0,2,,^1.30.0,1.30.0,80,100,80,87
@stripe/mcp,0.3.3,GitHub Actions,True,True,1,2,2,95,8,0,0,0,1,0,1,,^1.17.1,1.30.0,80,100,80,87
@supabase/mcp-server-supabase,0.12.0,GitHub Actions,True,True,2,6,6,10,2,0,2,0,4,0,0,,,,85,100,80,88
